  Total tokens found: 215

  LINE    TOKEN TYPE        VALUE
  ------  ----------------  --------------------
  6       INT               int
  6       NAME              main
  6       LPAREN            (
  6       RPAREN            )
  6       LBRACE            {
  7       INT               int
  7       NAME              a
  7       ASSIGN            =
  7       NUMBER            10
  7       SEMI              ;
  8       INT               int
  8       NAME              b
  8       ASSIGN            =
  8       NUMBER            3
  8       SEMI              ;
  10      PRINTF            printf
  10      LPAREN            (
  10      STRING            a = 
  10      RPAREN            )
  10      SEMI              ;
  10      PRINTF            printf
  10      LPAREN            (
  10      NAME              a
  10      RPAREN            )
  10      SEMI              ;
  10      PRINTF            printf
  10      LPAREN            (
  10      STRING            \n
  10      RPAREN            )
  10      SEMI              ;
  10      PRINTF            printf
  10      LPAREN            (
  10      STRING            b = 
  10      RPAREN            )
  10      SEMI              ;
  10      PRINTF            printf
  10      LPAREN            (
  10      NAME              b
  10      RPAREN            )
  10      SEMI              ;
  10      PRINTF            printf
  10      LPAREN            (
  10      STRING            \n
  10      RPAREN            )
  10      SEMI              ;
  12      INT               int
  12      NAME              sum
  12      ASSIGN            =
  12      NAME              a
  12      PLUS              +
  12      NAME              b
  12      SEMI              ;
  12      PRINTF            printf
  12      LPAREN            (
  12      STRING            a + b = 
  12      RPAREN            )
  12      SEMI              ;
  12      PRINTF            printf
  12      LPAREN            (
  12      NAME              sum
  12      RPAREN            )
  12      SEMI              ;
  12      PRINTF            printf
  12      LPAREN            (
  12      STRING            \n
  12      RPAREN            )
  12      SEMI              ;
  14      INT               int
  14      NAME              diff
  14      ASSIGN            =
  14      NAME              a
  14      MINUS             -
  14      NAME              b
  14      SEMI              ;
  14      PRINTF            printf
  14      LPAREN            (
  14      STRING            a - b = 
  14      RPAREN            )
  14      SEMI              ;
  14      PRINTF            printf
  14      LPAREN            (
  14      NAME              diff
  14      RPAREN            )
  14      SEMI              ;
  14      PRINTF            printf
  14      LPAREN            (
  14      STRING            \n
  14      RPAREN            )
  14      SEMI              ;
  16      INT               int
  16      NAME              prod
  16      ASSIGN            =
  16      NAME              a
  16      MUL               *
  16      NAME              b
  16      SEMI              ;
  16      PRINTF            printf
  16      LPAREN            (
  16      STRING            a * b = 
  16      RPAREN            )
  16      SEMI              ;
  16      PRINTF            printf
  16      LPAREN            (
  16      NAME              prod
  16      RPAREN            )
  16      SEMI              ;
  16      PRINTF            printf
  16      LPAREN            (
  16      STRING            \n
  16      RPAREN            )
  16      SEMI              ;
  18      INT               int
  18      NAME              x
  18      ASSIGN            =
  18      NUMBER            7
  18      SEMI              ;
  19      IF                if
  19      LPAREN            (
  19      NAME              x
  19      GT                >
  19      NUMBER            5
  19      RPAREN            )
  19      LBRACE            {
  19      PRINTF            printf
  19      LPAREN            (
  19      STRING            x is greater than 5\n
  19      RPAREN            )
  19      SEMI              ;
  19      RBRACE            }
  20      ELSE              else
  20      LBRACE            {
  21      PRINTF            printf
  21      LPAREN            (
  21      STRING            x is small\n
  21      RPAREN            )
  21      SEMI              ;
  22      RBRACE            }
  24      INT               int
  24      NAME              i
  24      ASSIGN            =
  24      NUMBER            1
  24      SEMI              ;
  25      INT               int
  25      NAME              total
  25      ASSIGN            =
  25      NUMBER            0
  25      SEMI              ;
  26      WHILE             while
  26      LPAREN            (
  26      NAME              i
  26      LEQ               <=
  26      NUMBER            5
  26      RPAREN            )
  26      LBRACE            {
  27      NAME              total
  27      ASSIGN            =
  27      NAME              total
  27      PLUS              +
  27      NAME              i
  27      SEMI              ;
  28      NAME              i
  28      INC               ++
  28      SEMI              ;
  29      RBRACE            }
  30      PRINTF            printf
  30      LPAREN            (
  30      STRING            Sum 1 to 5 = 
  30      RPAREN            )
  30      SEMI              ;
  31      PRINTF            printf
  31      LPAREN            (
  31      NAME              total
  31      RPAREN            )
  31      SEMI              ;
  32      PRINTF            printf
  32      LPAREN            (
  32      STRING            \n
  32      RPAREN            )
  32      SEMI              ;
  34      FOR               for
  34      LPAREN            (
  34      INT               int
  34      NAME              j
  34      ASSIGN            =
  34      NUMBER            1
  34      SEMI              ;
  34      NAME              j
  34      LEQ               <=
  34      NUMBER            4
  34      SEMI              ;
  34      NAME              j
  34      INC               ++
  34      RPAREN            )
  34      LBRACE            {
  35      PRINTF            printf
  35      LPAREN            (
  35      STRING            j = 
  35      RPAREN            )
  35      SEMI              ;
  36      PRINTF            printf
  36      LPAREN            (
  36      NAME              j
  36      RPAREN            )
  36      SEMI              ;
  37      PRINTF            printf
  37      LPAREN            (
  37      STRING            \n
  37      RPAREN            )
  37      SEMI              ;
  38      RBRACE            }
  40      NAME              return
  40      NUMBER            0
  40      SEMI              ;
  41      RBRACE            }
  42      EOF               EOF
